Clothing ID,Age,Recommended IND,Positive Feedback Count,Division Name,Department Name,Class Name,text
0,25,1,4,General,Bottoms,Skirts,"title: 3-season skirt! [SEP] review: Adorable, well-made skirt! lined and very slimming. i had to size up b/c it runs a bit snug around the waist. however, it's worth it b/c this will match many long and short sleeve tops!"
0,39,1,0,General,Bottoms,Skirts,title: Very cute [SEP] review: Love the asymmetrical hem. waist fit snugly as in perfectly. it ties in two spots with a hidden zipper as well. a little stiff in the fabric. classic colors but decided not to keep only because i didn't feel like we could wear it all year round.  can't petite or 0p was great (115 lbs)
0,42,1,5,General,Bottoms,Skirts,"title: Beautiful! fruns small for typical retailer sizing [SEP] review: I love this skirt! i wasn't sure about the mix of the back pattern with the front but it works! it is great for work at a less conservative place and for dinners out too! the quality is great - the skirt is a fine silk, ant it is lined, so you don't need a slip. i think it fits perfectly for my body type, and while it runs big compared to typical retailer sizing, it is true to size compared to other stores in the petite sizes anyway. i am normally a 0 petite, 5'2"", 104, waist 24.5"", hips 34"
0,45,1,9,General,Bottoms,Skirts,"title: none [SEP] review: I was really pleased with this skirt. the lightness of the fabric is nice and the colors matched the photos. i was initially concerned that it might be stiff and uncomfortable, but it feels like it has a bit of stretch and offers some good movement. sometimes retailer skirts seem to run small to me, but this fit perfectly in my regularl size."
0,57,1,1,General,Bottoms,Skirts,"title: Unique, pretty asymmetric skirt [SEP] review: I saw this skirt in retailer several months ago and while it caught my eye, it was pricey. so i waited until it went on sale and pounced.  unfortunately i ordered a size 6 which is enroute.   i happened to stop by our local store today and decided to try on the 6 and ended up getting a size 4.  so i'll have to return the size 6 when it arrives.  i think it runs tts. i've lost alot of weight recently.  
the colors are vibrant and it has a nice weight with some stretch in the fabric.  it's a"
0,62,1,0,General,Bottoms,Skirts,"title: Beautiful day to evening skirt [SEP] review: A lovely skirt and i'm so glad i found it before the medium sold out! having said that, i expected the medium to run small and that i'd have to squeeze into it but having tried it on this evening it's not the case at all. i nice fit. i might even have fitted into a small, which i think is the only size remaining. the skirt is very spain inspired. very flamenco! i love it! i will say that you'd need a bit of height to wear this skirt due to the length at the back. i'm 5'6"" which is tall enough fo"
0,73,0,7,General,Bottoms,Skirts,title: Too small [SEP] review: I usually wear a 6 and ordered two other skirts at the same time. the other skirts fit perfectly and this one was more like a size 2. very disappointed for i really liked the idea of it.
1,26,1,0,General,Bottoms,Pants,"title: Love it so much! [SEP] review: This jumpsuit is so, so cute. i tried it on in an xs in store but needed a petite. i ordered the xsp online, received it, but honestly it's still a little big. the xxsp is sold out, but i love the piece so much i think i'm going to have it taken in. trust me, it's just as cute as it looks, if not cuter!"
1,30,1,0,General,Bottoms,Pants,"title: Comfy but... [SEP] review: The top is huge! i wear an xs and am not the bustiest of women, but the top part of this romper felt like it belonged on a medium or large, even though the bottoms and waist fit perfectly. i was really disappointed, as i loved it in every other way."
1,30,1,0,General,Bottoms,Pants,title: Like fancy pjs [SEP] review: none
1,37,1,9,General,Bottoms,Pants,"title: Nice romper [SEP] review: This is adorable! i got it to wear on the plane for an upcoming vacation. this is definitely tts. i am normally a medium and got the medium. i am long wasted and this fit just fine. looks like it does on the model.
the material is super soft too. it is also easy to get on and off which is sometimes difficult with rompers.
plan on wearing it with gladiator sandals and a jean jacket."
1,38,1,0,General,Bottoms,Pants,title: Comfortable! [SEP] review: This jumpsuit is so so comfy i can't wait to wear it! def runs on the large size.
1,47,1,1,General,Bottoms,Pants,"title: Not for the tall... [SEP] review: This is a super cute romper--very casual, very comfortable. i feel it runs a bit big because i tried on an xs (i'm usually a small 4-6). it fit perfectly except for the inseam on the legs. i am 5' 8.5"" tall but mostly legs (as opposed to being long waisted). i wear a 33"" inseam with flats. if the bottom of the legs were not elasticized, i could have just gone with a cropped look or rolled them, etc. but the elastic was digging into my calves after just five minutes. i think it might be very unco"
1,60,1,1,General,Bottoms,Pants,"title: Comfy [SEP] review: This jumpsuit is very comfortable. the material is soft the waist is elasticised, it is not drawstring as it seems in the photos."
